Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Round,Pick,,Team,Player,Position,Nationality,Height,Weight,Junior Team,Junior League
4,112,50 NA,NJD,Matt Delahey,D,CAN,6′ 1,210,Regina,WHL
4,113,NR,ANA,Ryan Hegarty,D,USA,6′ 0,196,USA U-18,USDP
4,114,164 NA,CGY,TJ Brodie,D,CAN,6′ 1,182,Saginaw,OHL
4,115,NR,MIN,Sean Lorenz,D,CAN,6′ 1,191,USA U-18,USDP
4,116,23 NA-G,MTL,Jason Missiaen,G,CAN,6′ 8,193,Peterborough,OHL
4,117,43 NA,TBL,James Wright,C,CAN,6′ 4,200,Vancouver,WHL
4,118,110 NA,CBJ,Drew Olson,D,USA,5′ 11,215,Brainerd-High,HIGH-MN
4,119,106 NA,OTT,Derek Grant,C,CAN,6′ 3,190,Langley,BCHL
4,120,118 NA,PIT,Nathan Moon,C,CAN,5′ 11,179,Kingston,OHL
4,121,149 EUR,DET,Gustav Nyquist,C,SWE,5′ 10,169,Malmo Jr.,SWE-JR.
5,122,9 NA-G,TBL,Dustin Tokarski,G,CAN,5′ 11,198,Spokane,WHL
5,123,15 EUR,LAK,Andrei Loktionov,C,RUS,5′ 10,180,Yaroslavl 2,RUSSIA-3
5,124,31 EUR,ATL,Nicklas Lasu,L,SWE,5′ 11,176,Frolunda Jr.,SWE-JR.
5,125,14 EUR,STL,Kristoffer Berglund,D,SWE,5′ 10,180,Bjorkloven,SWEDEN-2
5,126,7-NA G,NYI,Kevin Poulin,G,CAN,6′ 2,211,Victoriaville,QMJHL
5,127,45 NA,CBJ,Matt Calvert,L,CAN,5′ 9,164,Brandon,WHL
5,128,162 NA,TOR,Greg Pateryn,D,USA,6′ 2,212,Ohio,USHL
5,129,87 NA,TOR,Joel Champagne,C,CAN,6′ 4,210,Chicoutimi,QMJHL
5,130,22 EUR,TOR,Jerome Flaake,L,DEU,6′ 2,187,Koln,GERMANY
5,131,NR,VAN,Prab Rai,C,CAN,5′ 11,191,Seattle,WHL
5,132,128 NA,CHI,Teigan Zahn,D,CAN,6′ 2,222,Saskatoon,WHL
5,133,31 NA,EDM,Philippe Cornet,L,CAN,6′ 0,196,Rimouski,QMJHL
5,134,34 NA,BUF,Jacob Lagace,L,CAN,5′ 11,190,Chicoutimi,QMJHL
5,135,21 EUR,CBJ,Tomas Kubalik,R,CZE,6′ 2,189,Plzen,CZREP
5,136,73 NA,NSH,Taylor Stefishen,L,CAN,5′ 11,191,Langley,BCHL
5,137,NR,CBJ,Brent Regner,D,CAN,5′ 11,175,Vancouver,WHL
5,138,55 EUR,MTL,Maxim Trunev,F,RUS,5′ 11,174,Cherepovets 2,RUSSIA-3
5,139,NR,OTT,Mark Borowiecki,D,CAN,6′ 1,185,Smiths Falls,CJHL
5,140,NR,COL,Mark Olver,C,CAN,5′ 10,170,Northern Michigan,CCHA
5,141,80 NA,NYR,Chris Doyle,C,CAN,6′ 0,191,PEI,QMJHL
5,142,NR,NJD,Kory Nagy,C,CAN,5′ 11,195,Oshawa,OHL
5,143,NR,ANA,Stefan Warg,D,SWE,6′ 2,187,Vasteras Jr.,SWE-JR.
5,144,58 NA,WSH,Joel Broda,C,CAN,6′ 0,196,Moose Jaw,WHL
5,145,NR,MIN,Eero Elo,L,FIN,6′ 3,189,Lukko Jr.,FINLAND-JR.
5,146,64 NA,SJS,Julien Demers,D,CAN,6′ 0,215,Ottawa,OHL
5,147,NR,TBL,Kyle De Coste,R,CAN,6′ 2,195,Brampton,OHL
5,148,NR,NYI,Matt Martin,L,CAN,6′ 3,210,Sarnia,OHL
5,149,11 EUR,DAL,Philip Larsen,D,DNK,6′ 1,183,Frolunda,SWEDEN
5,150,10 EUR-G,PIT,Alexander Pechurskiy,G,RUS,6′ 0,187,Magnitogorsk 2,RUSSIA-3
5,151,77 NA,DET,Julien Cayer,C,CAN,6′ 4,186,Northwood School,HIGH-NY
6,152,85 NA,TBL,Mark Barberio,D,CAN,6′ 1,197,Moncton,QMJHL
6,153,NR,LAK,Justin Azevedo,C,CAN,5′ 7,175,Kitchener,OHL
6,154,10 NA-G,ATL,Christopher Carrozzi,G,CAN,6′ 3,195,Mississauga,OHL
6,155,76 NA,STL,Anthony Nigro,C,CAN,5′ 11,180,Guelph,OHL
6,156,144 NA,NYI,Jared Spurgeon,D,CAN,5′ 9,185,Spokane,WHL
6,157,NR,CBJ,Cam Atkinson,R,USA,5′ 9,165,Avon Old Farms,HIGH-CT
6,158,NR,TOR,Grant Rollheiser,G,CAN,6′ 4,195,Trail,BCHL
6,159,NR,PHX,Brett Hextall,C,USA,5′ 10,176,Penticton,BCHL
6,160,NR,TBL,Luke Witkowski,D,USA,6′ 2,200,Ohio,USHL
6,161,NR,VAN,Mats Froshaug,C,NOR,6′ 1,198,Linkoping Jr.,SWE-JR.
6,162,64 EUR,CHI,Jonathan Carlsson,D,SWE,6′ 2,187,Brynas,SWEDEN
6,163,25 EUR,EDM,Teemu Hartikainen,C,FIN,6′ 1,215,Kalpa Jr.,FINLAND-JR.
6,164,NR,BUF,Nick Crawford,D,CAN,6′ 1,199,Saginaw,OHL
6,165,NR,CAR,Mike Murphy,G,CAN,5′ 11,165,Belleville,OHL
