Column1,Column2,Column3,Column4,Column5,Column52,Column6,Column7,Column8,Column9,Column10,Column11
3,NR,86,STL,Colton Parayko,Kevin Roy,D,CAN,6′ 4,191,Fort McMurray,AJHL
3,NR,87,ANA,Frederik Andersen,Adam Gilmour,G,DNK,6′ 4,247,Frolunda,SWEDEN
3,63 NA,88,PHX,James Melindy,Erik Karlsson,D,CAN,6′ 2,187,Moncton,QMJHL
3,114 NA,89,NSH,Brendan Leipsic,Thomas Di Pauli,LW,CAN,5′ 8,165,Portland,WHL
3,52 NA,90,NJD,Ben Johnson,Cedric Paquette,C/LW,USA,5′ 11,188,Windsor,OHL
3,32 NA,91,EDM,Daniil Zharkov,Rhett Holland,LW,RUS,6′ 3,208,Belleville,OHL
4,59 NA,92,PIT,Matia Marcantuoni,Loic Leduc,C/RW,CAN,5′ 11,193,Kitchener,OHL
4,NR,93,EDM,Erik Gustafsson,Gemel Smith,D,SWE,6′ 0,176,Djurgarden,SWEDEN
4,38 NA,94,MTL,Brady Vail,Brett Kulak,C,USA,6′ 0,195,Windsor,OHL
4,57 NA,95,CBJ,Josh Anderson,Timothy Boyle,RW,CAN,6′ 1,189,London,OHL
4,NR,96,NJD,Ben Thomson,Austin Wuthrich,LW,CAN,6′ 3,205,Kitchener,OHL
4,78 NA,97,ANA,Kevin Roy,Andrew O'Brien,C,CAN,5′ 8,156,Lincoln,USHL
4,101 NA,98,MIN,Adam Gilmour,Christophe Lalancette,C,USA,6′ 2,193,Nobles,HIGH-MA
4,14 EUR,99,CAR,Erik Karlsson,Andreas Athanasiou,C/LW,SWE,5′ 11,161,Frolunda Jr.,SWE-JR.
4,81 NA,100,WSH,Thomas Di Pauli,Fredric Larsson,C,USA,5′ 11,188,USA U-18,USHL
4,NR,101,TBL,Cedric Paquette,Zach Stepan,C,CAN,6′ 0,198,Blainville-Boisbriand,QMJHL
4,167 NA,102,PHX,Rhett Holland,Alexander Delnov,D,CAN,6′ 2,220,Okotoks,AJHL
4,209 NA,103,NYI,Loic Leduc,Trevor Carrick,D,CAN,6′ 5,194,Cape Breton,QMJHL
4,37 NA,104,DAL,Gemel Smith,Nicholas Walters,C,CAN,5′ 10,164,Owen Sound,OHL
4,55 NA,105,CGY,Brett Kulak,Taylor Leier,D,CAN,6′ 1,181,Vancouver,WHL
4,208 NA,106,OTT,Timothy Boyle,Mikko Vainonen,D,USA,6′ 1,185,Nobles,HIGH-MA
4,94 NA,107,WSH,Austin Wuthrich,Calle Andersson,RW,USA,6′ 1,190,Notre Dame,CCHA
4,NR,108,ANA,Andrew O’Brien,Jaccob Slavin,D,CAN,6′ 3,200,Chicoutimi,QMJHL
4,62 NA,109,SJS,Christophe Lalancette,Nikolai Prokhorkin,RW,CAN,5′ 11,162,Acadie-Bathurst,QMJHL
4,40 NA,110,DET,Andreas Athanasiou,Charles Hudon,C/LW,CAN,6′ 0,177,London,OHL
4,NR,111,PHI,Fredrik Larsson,Joey Laleggia,D,SWE,6′ 3,172,Brynas Jr.,SWE-JR.
4,53 NA,112,NSH,Zach Stepan,Ryan Culkin,C,USA,5′ 11,165,Shattuck-St. Mary’s,HIGH-MN
4,28 NA-G,113,PIT,Sean Maguire,Doyle Somerby,G,CAN,6′ 1,203,Powell River,BCHL
4,NR,114,FLA,Alexander Delnov,Dominic Toninato,LW,RUS,6′ 0,187,Mytischi 2,RUSSIA-JR.
4,44 NA,115,CAR,Trevor Carrick,Brian Cooper,D,CAN,6′ 1,171,Mississauga,OHL
4,67 NA,116,STL,Nicholas Walters,Daniel Gunnarsson,D,CAN,6′ 1,189,Everett,WHL
4,131 NA,117,PHI,Taylor Leier,Brendan Woods,LW,CAN,5′ 10,174,Portland,WHL
4,11 EUR,118,NSH,Mikko Vainonen,Seth Griffith,D,FIN,6′ 2,222,HIFK Jr.,FINLAND-JR.
4,15 EUR,119,NYR,Calle Andersson,Michael Clarke,D,SWE,6′ 2,211,Farjestad Jr.,SWE-JR.
4,NR,120,CAR,Jaccob Slavin,Logan Nelson,D,USA,6′ 1,170,Chicago,USHL
4,9 EUR,121,LAK,Nikolay Prokhorkin,Branden Troock,LW,RUS,6′ 2,190,CSKA 2,RUSSIA-JR.
5,95 NA,122,MTL,Charles Hudon,Graham Black,LW,CAN,5′ 10,170,Chicoutimi,QMJHL
5,NR,123,EDM,Joey Laleggia,Robert Baillargeon,D,CAN,5′ 9,182,U. of Denver,WCHA
5,66 NA,124,CGY,Ryan Culkin,Connor Carrick,D,CAN,6′ 1,176,Quebec,QMJHL
5,99 NA,125,NYI,Doyle Somerby,Daniel O'Regan,D,USA,6′ 4,232,Kimball Union,HIGH-NH
