4,58 NA,105,CBJ,Nick Moutrey,C/LW,CAN,6′ 2″,208,Saginaw,OHL
4,NR,106,NYI,Stephon Williams,G,USA,6′ 1″,194,Minnesota State,WCHA
4,74 NA,107,MIN,Dylan Labbe,D,CAN,6′ 1″,205,Shawinigan,QMJHL
4,101 NA,108,OTT,Ben Harpur,D,CAN,6′ 5″,210,Guelph,OHL
4,67 NA,109,DET,David Pope,LW,CAN,6′ 2″,187,West Kelowna,BCHL
4,116 NA,110,NYR,Ryan Graves,D,CAN,6′ 4″,220,PEI,QMJHL
4,58 EUR,111,CHI,Robin Norell,D,SWE,5′ 11″,189,Djurgarden Jr.,SWEDEN-JR.
4,173 NA,112,STL,Zach Pochiro,LW,USA,6′ 1″,159,Prince George,WHL
4,108 NA,113,EDM,Aidan Muir,LW/RW,CAN,6′ 3″,182,Victory Honda,MWEHL
4,43 NA,114,WPG,Jan Kostalek,D,CZE,6′ 0″,181,Rimouski,QMJHL
4,55 NA,115,VAN,Jordan Subban,D,CAN,5′ 9″,175,Belleville,OHL
4,91 NA,116,MTL,Martin Reway,LW,CZE,5′ 8″,158,Gatineau,QMJHL
4,NR,117,SJS,Fredrik Bergvik,G,SWE,6′ 1″,189,Frolunda Jr.,SWEDEN-JR.
4,70 NA,118,LAK,Hudson Fasching,RW,USA,6′ 1″,213,USA U-18,USHL
4,169 NA,119,PIT,Ryan Segalla,D,USA,6′ 0″,190,Salisbury,HIGH-CT
4,56TH NA,120,BOS,Ryan Fitzgerald,C,USA,5′ 9″,170,Valley,EJHL
4,84 NA,121,CHI,Tyler Motte,C,USA,5′ 9″,190,USA U-18,USHL
5,NR,122,FLA,Chris Clapperton,LW,CAN,5′ 9″,174,Blainville-Bsbrnd,QMJHL
5,NR,123,COL,Will Butcher,D,USA,5′ 9″,191,USA U-18,USHL
5,NR,124,TBL,Kristers Gudlevskis,G,LVA,6′ 4″,190,Riga 2,RUSSIA-JR.
5,74 EUR,125,NSH,Saku Maenalanen,RW,FIN,6′ 3″,176,Karpat Jr.,FINLAND-JR.
5,125 NA,126,CAR,Brent Pedersen,LW,CAN,6′ 2″,205,Kitchener,OHL
5,NR,127,WPG,Tucker Poolman,D,USA,6′ 2″,199,Omaha,USHL
5,NR,128,EDM,Evan Campbell,LW,CAN,6′ 1″,175,Langley,BCHL
5,4 NA-G,129,BUF,Cal Petersen,G,USA,6′ 2″,183,Waterloo,USHL
5,64 EUR,130,BUF,Gustav Possler,RW,SWE,6′ 0″,183,Modo Jr.,SWEDEN-JR.
5,92 NA,131,DAL,Cole Ully,LW,CAN,5′ 10″,164,Kamloops,WHL
5,NR,132,PHI,Terrance Amorosa,D,CAN,6′ 1″,185,Holderness,HIGH-NH
5,88 NA,133,PHX,Connor Clifton,D,USA,5′ 10″,175,USA U-18,USHL
5,96 NA,134,CHI,Luke Johnson,C,USA,5′ 11″,179,Lincoln,USHL
5,41 NA,135,CGY,Eric Roy,D,CAN,6′ 2″,180,Brandon,WHL
5,14 EUR,136,NYI,Viktor Crus Rydberg,C,SWE,5′ 11″,190,Linkoping Jr.,SWEDEN-JR.
5,129 NA,137,MIN,Carson Soucy,D,CAN,6′ 4″,209,Spruce Grove,AJHL
5,73 NA,138,OTT,Vincent Dunn,C,CAN,5′ 11″,172,Val d’Or,QMJHL
5,69 NA,139,DET,Mitch Wheaton,D,CAN,6′ 4″,228,Kelowna,WHL
5,64 NA,140,NSH,Teemu Kivihalme,D,USA,5′ 11″,161,Burnsville,HIGH-MN
5,NR,141,SJS,Michael Brodzinski,D,USA,5′ 11″,190,Muskegon,USHL
5,59 EUR,142,TOR,Fabrice Herzog,RW,CHE,6′ 2″,176,Zug Jr.,SWISS-JR.
5,75 NA,143,BUF,Anthony Florentino,D,USA,6′ 1″,227,South Kent School,HIGH-CT
5,81 NA,144,WSH,Blake Heinrich,D,USA,5′ 10″,194,Sioux City,USHL
