,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
57,Washington Capitals,Eric Mestery,CA,D,18,,Tri-City Americans ,WHL,,,,,,,6′ 5,195,WHL,43,1,6,7,0.16,20,1,71,2,14,16,0.23,65,9,1.20704
58,Washington Capitals,Dmitry Kugryshev,RU,RW,18,,CSKA Moskva 2 ,Russia-3,,,,,,,5′ 11,183,Russia-3,33,13,16,29,0.88,24,0,29,25,25,50,1.72,60,0,9.02656
60,Toronto Maple Leafs,Jimmy Hayes,US,RW,18,2018,Lincoln Stars ,USHL,334,54,55,109,-29,149,6′ 5,210,USDP/NAHL,70,25,29,54,0.77,47,0,21,4,11,15,0.71,18,9,3.72608
62,San Jose Sharks,Justin Daniels,US,C,19,,Kent School ,High-CT,,,,,,,6′ 1,175,USHS-Prep,25,14,32,46,1.84,0,0,25,17,37,54,2.16,10,0,11.33568
63,Los Angeles Kings,Robert Czarnik,US,C,18,,USA U-18 Development Team ,USDP/NAHL,,,,,,,6′ 0,188,USDP/NAHL,46,7,10,17,0.37,46,0,43,15,18,33,0.77,30,0,4.04096
64,Atlanta Thrashers,Danick Paquette,CA,RW,18,,Lewiston MAINEiacs ,QMJHL,,,,,,,6′ 1,210,QMJHL,63,4,14,18,0.29,112,13,63,29,13,42,0.67,213,8,3.51616
65,St. Louis Blues,Jori Lehtera,FI,C,20,2019,Tappara ,Finland,307,34,77,111,12,167,6′ 2,191,Finland Jr.,24,18,48,66,2.75,20,26,54,13,29,42,0.78,32,12,4.09344
66,New York Islanders,David Toews,CA,C,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,5′ 10,196,USHS-Prep,61,34,47,81,1.33,52,0,51,44,56,100,1.96,20,0,10.28608
67,Philadelphia Flyers,Marc-Andre Bourdon,CA,D,18,2012,Rouyn-Noranda Huskies ,QMJHL,45,4,3,7,4,52,6′ 0,206,QMJHL,63,2,26,28,0.44,80,9,69,12,47,59,0.86,114,39,4.51328
68,Chicago Blackhawks,Shawn Lalonde,CA,D,18,2013,Belleville Bulls ,OHL,1,0,0,0,1,0,6′ 1,192,OHL,58,6,20,26,0.45,71,6,66,9,22,31,0.47,67,28,2.46656
