Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
112,Nashville Predators,Viktor Arvidsson,SE,LW,21,2023,Skelleftea AIK ,Sweden,471,150,152,302,47,202,5′ 9″,172,Sweden,49,7,5,12,0.24,12,0,50,16,24,40,0.80,59,4
113,Pittsburgh Penguins,Sam Lafferty,US,C/LW,19,2023,Deerfield Academy ,High-MA,159,14,25,39,-21,96,6′ 0″,187,USHS-Prep,24,9,15,24,1.00,0,0,25,21,34,55,2.20,0,0
114,Colorado Avalanche,Alexis Pepin,CA,LW,18,,Gatineau Olympiques ,QMJHL,,,,,,,6′ 2″,218,QMJHL,64,18,12,30,0.47,78,9,60,17,17,34,0.57,69,1
116,Boston Bruins,Danton Heinen,CA,C/LW,19,2023,Surrey ,BCHL,368,65,98,163,13,64,6′ 0″,165,PIJHL,43,21,28,49,1.14,4,0,57,29,33,62,1.09,8,0
117,Pheonix Coyotes,Michael Bunting,CA,LW,18,2023,Soo Greyhounds ,OHL,126,38,49,87,29,126,5′ 11″,174,GTHL U18,20,21,7,28,1.40,51,0,48,15,27,42,0.88,34,10
119,Tampa Bay Lightning,Ben Thomas,CA,D,18,2021,Calgary Hitmen ,WHL,5,0,0,0,1,0,6′ 1″,190,AJHL,44,5,3,8,0.18,37,0,72,7,24,31,0.43,39,11
120,Los Angeles Kings,Steven Johnson,US,D,20,,Omaha Lancers ,USHL,,,,,,,6′ 0″,185,USDP/NAHL,59,6,17,23,0.39,32,8,56,5,26,31,0.55,6,23
121,Buffalo Sabres,Maxwell Willman,US,C,19,2023,Williston Northampton School ,High-MA,45,4,2,6,-15,18,5′ 11″,181,USHS-MA,24,19,13,32,1.33,0,0,25,21,23,44,1.76,0,0
122,New York Rangers,Richard Nejezchleb,CZ,LW,20,,Brandon Wheat Kings ,WHL,,,,,,,6′ 2″,203,WHL,35,11,13,24,0.69,34,24,66,32,25,57,0.86,75,12
123,Anaheim Ducks,Matthew Berkovitz,US,D,18,,Ashwaubenon HS ,High-WI,,,,,,,6′ 1″,180,USHS-WI,23,11,14,25,1.09,14,0,24,11,26,37,1.54,12,16
124,St. Louis Blues,Jaedon Descheneau,CA,RW,19,,Kootenay Ice ,WHL,,,,,,,5′ 8″,186,WHL,69,30,48,78,1.13,22,9,70,44,54,98,1.40,54,27
125,Montreal Canadiens,Nikolas Koberstein,CA,D,18,,Olds ,AJHL,,,,,,,6′ 1″,180,AMHL,34,1,11,12,0.35,34,0,51,5,13,18,0.35,153,0
126,Vancouver Canucks,Gustav Forsling,SE,D,18,2023,Linkoping HC Jr. ,Sweden Jr.,256,25,69,94,65,78,5′ 11″,176,J18-Elit,14,2,6,8,0.57,10,8,44,6,12,18,0.41,36,3
127,Carolina Hurricanes,Clark Bishop,CA,C,18,2022,Cape Breton Screaming Eagles ,QMJHL,47,1,7,8,-6,20,5′ 11″,182,QMJHL,58,8,14,22,0.38,33,30,56,14,19,33,0.59,54,8
128,Toronto Maple Leafs,Dakota Joshua,US,C,18,2023,Sioux Falls Stampede ,USHL,61,7,6,13,3,48,6′ 1″,182,USHL,7,3,0,3,0.43,2,4,55,17,21,38,0.69,58,6
129,Winnipeg Jets,Clinston Franklin,US,LW,20,2022,Sioux Falls Stampede ,USHL,4,0,0,0,-1,2,5′ 11″,190,USHL,63,32,28,60,0.95,60,30,53,22,29,51,0.96,43,19
130,Edmonton Oilers,Liam Coughlin,US,C/LW,19,,Vernon ,BCHL,,,,,,,6′ 2″,190,USHS-MA,24,28,20,48,2.00,0,0,53,18,27,45,0.85,70,0
131,New Jersey Devils,Ryan Rehill,CA,D,18,,Kamloops Blazers ,WHL,,,,,,,6′ 2″,210,WHL,46,0,3,3,0.07,104,9,72,4,16,20,0.28,182,4
132,Nashville Predators,Joonas Lyytinen,FI,D,19,,KalPa ,Finland,,,,,,,6′ 0″,154,Finland Jr.,31,4,9,13,0.42,30,1,30,3,6,9,0.30,24,3
133,Pheonix Coyotes,Dysin Mayo,CA,D,18,2023,Edmonton Oil Kings ,WHL,80,4,8,12,-29,33,5′ 11″,181,WHL,42,1,4,5,0.12,12,3,63,7,28,35,0.56,50,17
134,Washington Capitals,Shane Gersich,US,C/LW,18,2018,USA U-18 Development Team ,USDP/USHL,3,0,1,1,-1,0,5′ 11″,175,USHS-MN,24,28,34,62,2.58,35,0,61,16,16,32,0.52,18,7
135,Dallas Stars,Miro Karjalainen,FI,D,18,,Jokerit Jr. ,Finland Jr.,,,,,,,6′ 5″,205,U18 Suomi-sarja,17,11,9,20,1.18,26,0,38,1,7,8,0.21,0,
137,Columbus Blue Jackets,Tyler Bird,US,RW,18,,Kimball Union Academy ,High-NH,,,,,,,6′ 1″,200,USHS-Prep,24,12,15,27,1.13,0,0,37,33,27,60,1.62,0,0
138,Philadelphia Flyers,Oskar Lindblom,SE,LW,18,2023,Brynas IF Jr. ,Sweden Jr.,284,50,51,101,-28,63,6′ 1″,191,J18-Elit,22,20,21,41,1.86,4,40,43,13,20,33,0.77,28,2
139,Minnesota Wild,Tanner Faith,CA,D,18,,Kootenay Ice ,WHL,,,,,,,6′ 4″,219,WHL,55,2,6,8,0.15,35,1,10,0,1,1,0.10,9,1
