,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
37,Carolina Hurricanes,Justin Faulk,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,779,117,243,360,-51,383,5′ 11,185,USDP/NAHL,38,3,9,12,0.32,20,1,39,12,9,21,0.54,20,0
38,New Jersey Devils,Jon Merrill,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,489,16,72,88,-4,235,6′ 4,185,USDP/NAHL,43,3,5,8,0.19,24,0,58,5,28,33,0.57,20,0
39,Minnesota Wild,Brett Bulmer,CA,RW,18,2016,Kelowna Rockets ,WHL,17,0,3,3,-2,15,6′ 2,175,BCEHL U18,36,28,35,63,1.75,56,0,65,13,27,40,0.62,95,7
40,New York Rangers,Christian Thomas,CA,RW,18,2016,Oshawa Generals ,OHL,27,1,2,3,-2,9,5′ 8.5,162,OHL,59,8,17,25,0.42,14,7,64,41,25,66,1.03,27,10
41,Dallas Stars,Patrik Nemeth,SE,D,18,2023,AIK ,Sweden-2,442,10,57,67,10,216,6′ 3,201,Sweden Jr.,19,0,0,0,0.00,43,0,16,0,3,3,0.19,8,7
42,Anaheim Ducks,Devante Smith-Pelly,CA,RW,18,2019,Mississauga St. Michael's Majors ,OHL,395,44,57,101,-41,137,5′ 11.5,211,OHL,57,13,12,25,0.44,24,4,60,29,33,62,1.03,35,27
43,Toronto Maple Leafs,Brad Ross,CA,LW,18,,Portland Winterhawks ,WHL,,,,,,,6′ 1,167,WHL,61,9,17,26,0.43,119,16,71,27,41,68,0.96,203,22
44,St. Louis Blues,Sebastian Wannstrom,SE,RW,19,,Brynas IF Jr. ,Sweden Jr.,,,,,,,6′ 1,180,Sweden Jr.,32,11,9,20,0.63,4,0,35,30,27,57,1.63,55,0
45,Boston Bruins,Ryan Spooner,CA,C,18,2019,Peterborough Petes ,OHL,325,48,119,167,-21,63,5′ 9,160,OHL,62,30,28,58,0.94,8,23,47,19,35,54,1.15,12,5
46,Edmonton Oilers,Martin Marincin,SK,D,18,2020,HK Orange 20 ,Slovakia,227,5,29,34,-13,110,6′ 4,187,Slovakia Jr.,46,11,15,26,0.57,50,0,35,2,4,6,0.17,71,27
