,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
67,St. Louis Blues,Mackenzie MacEachern,US,LW,18,2022,Brother Rice HS ,High-MI,115,11,8,19,4,55,6′ 2,180,USHS-MI,30,23,41,64,2.13,12,0,29,42,48,90,3.10,16,50
68,Minnesota Wild,John Draeger,US,D,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,6′ 1,186,USHS-Prep,54,3,8,11,0.20,18,0,57,11,30,41,0.72,36,0
70,Winnipeg Jets,Scott Kosmachuk,CA,RW,18,2016,Guelph Storm ,OHL,8,0,3,3,1,2,5′ 11,185,OHL,68,6,15,21,0.31,25,5,67,30,29,59,0.88,110,10
71,Tampa Bay Lightning,Tanner Richard,CA,C,19,2017,Guelph Storm ,OHL,3,0,0,0,-2,2,5′ 11,176,U20-Elit,28,11,32,43,1.54,72,0,43,13,35,48,1.12,46,4
72,Colorado Avalanche,Troy Bourke,CA,LW,18,,Prince George Cougars ,WHL,,,,,,,5′ 10,156,WHL,68,19,23,42,0.62,20,15,71,18,38,56,0.79,56,12
73,Buffalo Sabres,Justin Kea,CA,C,18,,Saginaw Spirit ,OHL,,,,,,,6′ 3,212,OHL,62,4,2,6,0.10,49,5,65,3,11,14,0.22,76,4
74,Dallas Stars,Esa Lindell,FI,D,18,2023,Jokerit Jr. ,Finland Jr.,460,38,111,149,71,130,6′ 3,187,U18-SM Sarja,14,5,7,12,0.86,10,0,48,21,30,51,1.06,16,24
77,Washington Capitals,Chandler Stephenson,CA,C/LW,18,2023,Regina Pats ,WHL,360,63,110,173,59,85,5′ 11,190,WHL,60,7,12,19,0.32,6,6,55,22,20,42,0.76,24,1
78,Philadelphia Flyers,Shayne Gostisbehere,US,D,19,2023,Union ,ECAC,481,78,204,282,-64,161,5′ 11,160,USHS-Prep,24,7,29,36,1.50,32,0,41,5,17,22,0.54,20,18
79,Chicago Blackhawks,Chris Calnan,US,RW,18,,Noble & Greenough School ,High-MA,,,,,,,6′ 2,187,USHS-Prep,27,14,11,25,0.93,8,0,27,28,27,55,2.04,13,0
81,Pittsburgh Penguins,Oskar Sundqvist,SE,C,18,2023,Skelleftea AIK Jr. ,Sweden Jr.,300,41,61,102,-10,125,6′ 3,172,J18-Elit,21,13,12,25,1.19,54,0,2,1,0,1,0.50,0,1
82,Ottawa Senators,Jarrod Maidens,CA,C/LW,18,,Owen Sound Attack ,OHL,,,,,,,6′ 0,178,OHL,47,10,11,21,0.45,11,4,28,12,11,23,0.82,4,2
84,Florida Panthers,Steven Hodges,CA,C,18,,Victoria Royals ,WHL,,,,,,,5′ 11,178,WHL,58,5,6,11,0.19,44,2,72,21,25,46,0.64,62,29
85,Boston Bruins,Matthew Grzelcyk,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,323,20,84,104,87,178,5′ 9,171,USDP/NAHL,55,2,16,18,0.33,40,0,60,3,20,23,0.38,22,0
86,St. Louis Blues,Colton Parayko,CA,D,19,2023,Fort McMurray ,AJHL,514,47,162,209,60,139,6′ 4,191,AJHL,42,3,9,12,0.29,12,0,53,9,33,42,0.79,65,0
88,Phoenix Coyotes,James Melindy,CA,D,18,,Moncton Wildcats ,QMJHL,,,,,,,6′ 2,187,QMJHL,40,4,1,5,0.13,17,4,61,9,18,27,0.44,74,7
89,Nashville Predators,Brendan Leipsic,CA,LW,18,2020,Portland Winterhawks ,WHL,187,16,43,59,-16,53,5′ 8,165,WHL,68,16,17,33,0.49,50,13,65,28,30,58,0.89,82,16
90,New Jersey Devils,Ben Johnson,US,C/LW,18,,Windsor Spitfires ,OHL,,,,,,,5′ 11,188,USHS-MI,30,37,40,77,2.57,0,0,68,18,20,38,0.56,44,5
91,Edmonton Oilers,Daniil Zharkov,RU,LW,18,,Belleville Bulls ,OHL,,,,,,,6′ 3,208,USHL,36,8,3,11,0.31,27,13,50,23,13,36,0.72,25,5
92,Pittsburgh Penguins,Matia Marcantuoni,CA,C/RW,18,,Kitchener Rangers ,OHL,,,,,,,5′ 11,193,OHL,42,11,16,27,0.64,26,7,24,9,5,14,0.58,10,2
93,Edmonton Oilers,Erik Gustafsson,SE,D,20,2023,Djurgardens IF ,Sweden,330,32,125,157,-17,96,6′ 0,176,Sweden Jr.,38,2,21,23,0.61,104,0,41,3,4,7,0.17,16,3
94,Montreal Canadiens,Brady Vail,US,C,18,,Windsor Spitfires ,OHL,,,,,,,6′ 0,195,OHL,61,3,7,10,0.16,27,3,68,22,30,52,0.76,55,1
95,Columbus Blue Jackets,Josh Anderson,CA,RW,18,2023,London Knights ,OHL,406,106,72,178,-11,338,6′ 1,189,OJHL,4,0,2,2,0.50,0,0,64,12,10,22,0.34,34,17
96,New Jersey Devils,Ben Thomson,CA,LW,19,2017,Kitchener Rangers ,OHL,3,0,0,0,-4,4,6′ 3,205,OHL,68,6,13,19,0.28,107,7,67,11,31,42,0.63,137,21
97,Anaheim Ducks,Kevin Roy,CA,C,19,2019,Lincoln Stars ,USHL,28,6,1,7,2,6,5′ 8,156,USHS-Prep,18,19,15,34,1.89,6,0,59,54,50,104,1.76,50,44
98,Minnesota Wild,Adam Gilmour,US,C,18,,Noble & Greenough School ,High-MA,,,,,,,6′ 2,193,USHS-Prep,27,11,16,27,1.00,8,0,26,26,30,56,2.15,28,0
99,Carolina Hurricanes,Erik Karlsson,SE,C/LW,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,5′ 11,161,Sweden Jr.,29,4,9,13,0.45,41,0,47,14,19,33,0.70,70,4
100,Washington Capitals,Thomas Di Pauli,US,C,18,2020,USA U-18 Development Team ,USDP/USHL,2,0,0,0,-3,10,5′ 11,188,USDP/NAHL,51,8,21,29,0.57,26,0,55,11,10,21,0.38,22,0
101,Tampa Bay Lightning,Cedric Paquette,CA,C,19,2022,Blainville-Boisbriand Armada ,QMJHL,448,51,44,95,-20,391,6′ 0,198,QMAAA,34,28,27,55,1.62,102,0,63,31,17,48,0.76,88,1
102,Phoenix Coyotes,Rhett Holland,CA,D,18,,Okotoks ,AJHL,,,,,,,6′ 2,220,AJHL,31,2,9,11,0.35,117,0,47,3,7,10,0.21,223,0
103,New York Islanders,Loic Leduc,CA,D,18,,Cape Breton Screaming Eagles ,QMJHL,,,,,,,6′ 5,194,QMJHL,36,1,3,4,0.11,27,14,65,2,8,10,0.15,99,3
104,Dallas Stars,Gemel Smith,CA,C,18,2022,Owen Sound Attack ,OHL,91,12,13,25,1,58,5′ 10,164,OHL,66,8,8,16,0.24,14,8,68,21,39,60,0.88,51,9
105,Calgary Flames,Brett Kulak,CA,D,18,2023,Vancouver Giants ,WHL,354,15,52,67,0,157,6′ 1,181,AMHL,31,9,18,27,0.87,71,0,72,9,15,24,0.33,22,29
106,Ottawa Senators,Timothy Boyle,US,D,19,,Noble & Greenough School ,High-MA,,,,,,,6′ 1,185,USHS-Prep,27,3,25,28,1.04,20,0,24,6,12,18,0.75,10,0
107,Washington Capitals,Austin Wuthrich,US,RW,19,,Notre Dame ,CCHA,,,,,,,6′ 1,190,USDP/NAHL,20,3,5,8,0.40,57,0,36,7,10,17,0.47,34,5
108,Anaheim Ducks,Andrew O'Brien,CA,D,19,,Chicoutimi Sagueneens ,QMJHL,,,,,,,6′ 3,200,QMJHL,55,1,9,10,0.18,33,9,68,8,21,29,0.43,95,2
109,San Jose Sharks,Christophe Lalancette,CA,RW,18,,Acadie-Bathurst Titan ,QMJHL,,,,,,,5′ 11,162,QMAAA,40,10,25,35,0.88,22,0,63,16,31,47,0.75,35,5
110,Detroit Red Wings,Andreas Athanasiou,CA,C/LW,18,2023,London Knights ,OHL,397,111,94,205,-75,166,6′ 0,177,OHL,57,11,11,22,0.39,21,11,63,22,15,37,0.59,22,22
111,Philadelphia Flyers,Fredric Larsson,SE,D,18,,Brynas IF Jr. ,Sweden Jr.,,,,,,,6′ 3,172,J18-Elit,21,3,11,14,0.67,16,0,14,1,3,4,0.29,24,2
112,Nashville Predators,Zach Stepan,US,C,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,5′ 11,165,USHS-Prep,54,25,39,64,1.19,20,0,50,22,43,65,1.30,20,0
114,Florida Panthers,Alexander Delnov,RU,LW,18,,Atlanty Mytishchi ,Russia Jr.,,,,,,,6′ 0,187,N/A,0,0,0,0,0.00,0,0,47,11,11,22,0.47,16,1
115,Carolina Hurricanes,Trevor Carrick,CA,D,18,2020,Mississauga St. Michael's Majors ,OHL,7,0,0,0,-2,12,6′ 1,171,OPJHL,40,6,13,19,0.48,44,0,68,6,13,19,0.28,64,5
116,St. Louis Blues,Nicholas Walters,CA,D,18,,Everett Silvertips ,WHL,,,,,,,6′ 1,189,WHL,48,0,4,4,0.08,52,14,62,6,12,18,0.29,95,27
117,Philadelphia Flyers,Taylor Leier,CA,LW,18,2018,Portland Winterhawks ,WHL,55,2,5,7,-8,10,5′ 10,174,SMAAAHL,44,31,43,74,1.68,32,0,72,13,24,37,0.51,36,10
118,Nashville Predators,Mikko Vainonen,FI,D,18,,HIFK Jr. ,Finland Jr.,,,,,,,6′ 2,222,U18-SM Sarja,17,4,6,10,0.59,20,0,38,7,11,18,0.47,44,7
119,New York Rangers,Calle Andersson,SE,D,18,,Farjestad BK Jr. ,Sweden Jr.,,,,,,,6′ 2,211,Sweden Jr.,25,2,4,6,0.24,24,0,49,12,24,36,0.73,56,5
120,Carolina Hurricanes,Jaccob Slavin,US,D,18,2023,Chicago Steel ,USHL,528,37,176,213,114,72,6′ 1,170,USHL,17,1,0,1,0.06,10,15,60,3,27,30,0.50,12,6
121,Los Angeles Kings,Nikolai Prokhorkin,RU,LW,18,2020,Krasnaya Armiya Moskva ,Russia Jr.,43,4,10,14,-6,6,6′ 2,190,Russia-3,46,23,17,40,0.87,42,28,15,9,17,26,1.73,47,13
122,Montreal Canadiens,Charles Hudon,CA,LW,18,2020,Chicoutimi Sagueneens ,QMJHL,125,14,27,41,-27,56,5′ 10,170,QMJHL,63,23,37,60,0.95,42,26,59,25,41,66,1.12,50,28
123,Edmonton Oilers,Joey Laleggia,CA,D,20,,Denver ,WCHA,,,,,,,5′ 9,182,BCHL,58,20,62,82,1.41,47,0,43,11,27,38,0.88,35,13
124,Calgary Flames,Ryan Culkin,CA,D,18,,Quebec Remparts ,QMJHL,,,,,,,6′ 1,176,QMJHL,40,6,5,11,0.28,12,1,60,6,19,25,0.42,28,9
125,New York Islanders,Doyle Somerby,US,D,18,,Kimball Union Academy ,High-NH,,,,,,,6′ 4,232,USHS-Prep,33,2,5,7,0.21,18,0,31,1,13,14,0.45,0,0
126,Toronto Maple Leafs,Dominic Toninato,US,C,18,2023,Duluth East HS ,High-MN,167,12,17,29,4,71,6′ 0,165,USHS-MN,23,24,27,51,2.22,12,0,25,27,34,61,2.44,28,0
127,Anaheim Ducks,Brian Cooper,US,D,18,,Fargo Force ,USHL,,,,,,,5′ 9,184,USHL,51,11,22,33,0.65,132,15,55,6,18,24,0.44,92,16
128,Minnesota Wild,Daniel Gunnarsson,SE,D,20,,Lulea HF ,Sweden,,,,,,,6′ 4,191,Sweden Jr.,38,3,13,16,0.42,51,0,46,3,4,7,0.15,8,6
129,Carolina Hurricanes,Brendan Woods,CA,LW,20,2016,Wisconsin ,WCHA,7,0,0,0,-1,7,6′ 2,190,USHL,57,14,12,26,0.46,86,10,34,5,5,10,0.29,67,3
131,Boston Bruins,Seth Griffith,CA,C,19,2022,London Knights ,OHL,80,8,11,19,-5,24,5′ 9,180,OHL,68,22,40,62,0.91,28,1,68,45,40,85,1.25,49,24
132,Colorado Avalanche,Michael Clarke,CA,C,18,,Windsor Spitfires ,OHL,,,,,,,5′ 11,184,OHL,8,0,0,0,0.00,0,4,68,15,21,36,0.53,81,6
133,Buffalo Sabres,Logan Nelson,US,C,19,,Victoria Royals ,WHL,,,,,,,6′ 1,179,USHL,41,6,3,9,0.22,69,5,71,23,39,62,0.87,70,2
134,Dallas Stars,Branden Troock,CA,RW,18,,Seattle Thunderbirds ,WHL,,,,,,,6′ 2,194,WHL,0,0,0,0,0.00,0,0,58,14,12,26,0.45,83,16
135,New Jersey Devils,Graham Black,CA,C,19,,Swift Current Broncos ,WHL,,,,,,,5′ 11,173,SMAAAHL,43,47,29,76,1.77,48,0,71,17,33,50,0.70,49,3
136,Ottawa Senators,Robert Baillargeon,US,C,18,,Indiana Ice ,USHL,,,,,,,5′ 11,164,USHS-Prep,30,30,34,64,2.13,30,0,54,14,34,48,0.89,36,1
137,Washington Capitals,Connor Carrick,US,D,18,2021,USA U-18 Development Team ,USDP/USHL,241,13,36,49,-22,157,5′ 11,185,USDP/NAHL,53,4,16,20,0.38,52,0,57,8,13,21,0.37,46,0
138,San Jose Sharks,Daniel O'Regan,DE,C,18,2022,St. Sebastian's School ,High-MA,30,1,5,6,-5,2,5′ 9,169,USHS-Prep,27,25,25,50,1.85,10,0,26,20,34,54,2.08,0,0
139,Chicago Blackhawks,Garret Ross,US,LW,20,,Saginaw Spirit ,OHL,,,,,,,5′ 11,169,OHL,53,6,9,15,0.28,111,6,60,25,29,54,0.90,93,13
140,Detroit Red Wings,Michael McKee,CA,D,19,,Lincoln Stars ,USHL,,,,,,,6′ 4,229,USHS-Prep,27,8,15,23,0.85,50,0,59,2,17,19,0.32,237,7
141,Philadelphia Flyers,Reece Willcox,CA,D,18,,Merritt ,BCHL,,,,,,,6′ 3,184,BCHL,53,5,9,14,0.26,16,0,52,5,18,23,0.44,26,0
142,New York Rangers,Thomas Spelling,DK,RW,19,,Herning ,Denmark,,,,,,,6′ 1,176,Denmark,39,18,11,29,0.74,14,0,33,21,16,37,1.12,6,0
