,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
145,Washington Capitals,Brett Flemming,CA,D,18,,Mississauga St. Michael's Majors ,OHL,,,,,,,6′ 0,172,OHL,47,1,9,10,0.21,30,15,64,3,25,28,0.44,89,21
146,Ottawa Senators,Jeff Costello,US,LW,18,,Cedar Rapids Roughriders ,USHL,,,,,,,5′ 11,190,USHS-WI,22,31,17,48,2.18,60,0,54,24,9,33,0.61,73,8
147,San Jose Sharks,Phil Varone,CA,C,18,2019,London Knights ,OHL,97,8,9,17,-20,26,5′ 10,186,OHL,67,15,46,61,0.91,26,14,58,19,33,52,0.9,32,13
149,Chicago Blackhawks,Marcus Kruger,SE,C,19,2019,Djurgardens IF Jr. ,Sweden Jr.,520,38,85,123,5,234,5′ 11,172,Sweden Jr.,22,3,13,16,0.73,16,0,34,9,30,39,1.15,24,0
150,Detroit Red Wings,Nick Jensen,US,D,18,2023,Green Bay Gamblers ,USHL,430,14,87,101,29,116,6′ 1,187,USHS-MN,14,14,13,27,1.93,0,0,52,5,17,22,0.42,27,34
151,Pittsburgh Penguins,Andy Bathgate,CA,C,18,,Belleville Bulls ,OHL,,,,,,,6′ 0,164,OPJHL,40,14,30,44,1.10,24,0,44,4,12,16,0.36,10,6
152,New York Islanders,Anders Lee,US,C,19,2023,Edina HS ,High-MN,619,220,165,385,21,370,6′ 2,209,USHS-MN,25,25,18,43,1.72,18,0,25,20,46,66,2.64,22,0
153,Philadelphia Flyers,Dave Labrecque,CA,C,19,,Shawinigan Cataractes ,QMJHL,,,,,,,6′ 0,170,QMJHL,22,4,7,11,0.50,26,3,59,13,48,61,1.03,76,23
155,Atlanta Thrashers,Jimmy Bubnick,CA,C,18,,Kamloops Blazers ,WHL,,,,,,,6′ 2,195,WHL,64,9,18,27,0.42,24,11,72,25,32,57,0.79,41,3
156,Los Angeles Kings,Michael Pelech,CA,C/LW,19,,Mississauga St. Michael's Majors ,OHL,,,,,,,6′ 3,206,OHL,68,17,32,49,0.72,72,10,68,19,46,65,0.96,121,7
157,Phoenix Coyotes,Evan Bloodoff,CA,LW,18,,Kelowna Rockets ,WHL,,,,,,,5′ 11,190,WHL,69,15,12,27,0.39,69,1,71,12,9,21,0.3,77,4
158,Toronto Maple Leafs,Jerry D'Amigo,US,RW,18,2015,USA U-18 Development Team ,USDP/NAHL,31,1,2,3,-5,2,6′ 0,189,USDP/NAHL,20,6,5,11,0.55,16,0,42,15,27,42,1,57,0
159,Dallas Stars,Curtis McKenzie,CA,LW,18,2018,Pentiction ,BCHL,99,10,13,23,-1,131,6′ 1,192,BCHL,49,3,7,10,0.20,81,0,53,30,34,64,1.21,90,0
160,Ottawa Senators,Corey Cowick,CA,LW,20,,Ottawa 67's ,OHL,,,,,,,6′ 2,201,OHL,63,11,14,25,0.40,79,2,68,34,26,60,0.88,48,21
163,Minnesota Wild,Jere Sallinen,FI,RW,18,,Blues Jr. ,Finland Jr.,,,,,,,6′ 0,183,Finland Jr.,36,11,19,30,0.83,94,16,9,1,2,3,0.33,31,2
165,Florida Panthers,Scott Timmins,CA,C,20,2013,Windsor Spitfires ,OHL,24,1,0,1,-10,12,5′ 11,191,OHL,62,17,12,29,0.47,46,25,66,35,38,73,1.11,61,6
166,Anaheim Ducks,Scott Valentine,CA,D,18,,Oshawa Generals ,OHL,,,,,,,6′ 0,196,CCHL,51,2,15,17,0.33,81,0,43,1,8,9,0.21,71,6
167,Columbus Blue Jackets,Anton Blomqvist,SE,D,19,,Malmo Jr. ,Sweden Jr.,,,,,,,6′ 4,189,Sweden Jr.,18,0,1,1,0.06,20,3,31,2,14,16,0.52,73,3
168,St. Louis Blues,David Shields,US,D,18,,Erie Otters ,OHL,,,,,,,6′ 3,216,OHL,60,1,3,4,0.07,31,24,61,1,16,17,0.28,28,24
169,Montreal Canadiens,Dustin Walsh,CA,C,18,,Kingston ,OJHL,,,,,,,6′ 2,175,OPJHL,22,11,7,18,0.82,10,0,44,32,31,63,1.43,28,0
170,New York Rangers,Dan Maggio,CA,D,18,,Sudbury Wolves ,OHL,,,,,,,6′ 3,190,OHL,64,5,15,20,0.31,96,17,44,2,14,16,0.36,60,8
172,Philadelphia Flyers,Eric Wellwood,CA,LW,19,2013,Windsor Spitfires ,OHL,31,5,5,10,13,4,5′ 11,168,OHL,68,9,7,16,0.24,12,3,61,16,18,34,0.56,12,27
174,New Jersey Devils,Ashton Bernard,CA,LW,19,,Shawinigan Cataractes ,QMJHL,,,,,,,6′ 4,197,QMJHL,52,2,1,3,0.06,209,13,53,3,1,4,0.08,111,0
175,Washington Capitals,Garrett Mitchell,CA,RW,18,2017,Regina Pats ,WHL,1,0,0,0,0,0,5′ 11,182,WHL,62,8,5,13,0.21,73,4,71,10,5,15,0.21,140,15
176,Boston Bruins,Tyler Randell,CA,RW,18,2016,Kitchener Rangers ,OHL,27,6,0,6,-2,47,6′ 1,191,OHL,62,5,6,11,0.18,24,2,73,24,13,37,0.51,99,12
177,Chicago Blackhawks,David Pacan,CA,C,18,,Cumberland ,CJHL,,,,,,,6′ 3,187,CCHL,60,12,22,34,0.57,30,0,58,22,38,60,1.03,78,0
178,Carolina Hurricanes,Rasmus Rissanen,FI,D,18,2015,KalPa Jr. ,Finland Jr.,6,0,0,0,-5,4,6′ 2,185,U18-SM Sarja,29,7,9,16,0.55,99,0,29,1,8,9,0.31,56,2
179,Los Angeles Kings,Brandon Kozun,US,RW,19,2015,Calgary Hitmen ,WHL,20,2,2,4,-3,6,5′ 8,162,WHL,69,19,34,53,0.77,46,30,72,40,68,108,1.5,58,50
180,Detroit Red Wings,Mitch Callahan,US,RW,18,2017,Kelowna Rockets ,WHL,5,0,0,0,0,0,5′ 11,175,16U AAA,52,32,37,69,1.33,62,0,70,14,13,27,0.39,188,11
181,Pittsburgh Penguins,Viktor Ekbom,SE,D,20,,IK Oskarshamn ,Sweden-2,,,,,,,6′ 2,194,Sweden Jr.,25,3,7,10,0.40,10,13,29,2,4,6,0.21,22,7
182,Minnesota Wild,Erik Haula,FI,LW,18,2023,Shattuck-St. Mary's School ,High-MN,556,113,134,247,46,253,5′ 10,163,Finland Jr.,40,7,15,22,0.55,26,4,53,26,58,84,1.58,46,0
183,Tampa Bay Lightning,Kirill Gotovets,BY,D,18,,Shattuck-St. Mary's School ,High-MN,,,,,,,5′ 11,175,Belarus,45,2,8,10,0.22,54,0,54,7,25,32,0.59,70,0
184,Colorado Avalanche,Gus Young,US,D,18,,Noble & Greenough School ,High-MA,,,,,,,6′ 2,190,USHS-Prep,29,6,9,15,0.52,0,0,29,5,29,34,1.17,16,0
185,Atlanta Thrashers,Levko Koper,CA,LW,18,,Spokane Chiefs ,WHL,,,,,,,6′ 0,190,WHL,69,12,14,26,0.38,45,17,71,23,36,59,0.83,57,31
186,Los Angeles Kings,Jordan Nolan,CA,C,20,2019,Soo Greyhounds ,OHL,375,24,28,52,-24,347,6′ 3,216,OHL,62,13,14,27,0.44,69,9,64,16,27,43,0.67,158,17
187,Vancouver Canucks,Steven Anthony,CA,LW,18,,Saint John Sea Dogs ,QMJHL,,,,,,,6′ 2,192,QMJHL,55,6,8,14,0.25,38,0,67,19,29,48,0.72,47,19
188,Toronto Maple Leafs,Barron Smith,US,D,18,,Peterborough Petes ,OHL,,,,,,,6′ 4,191,USHL,41,1,4,5,0.12,65,2,34,0,2,2,0.06,57,9
189,San Jose Sharks,Marek Viedensky,SK,C,19,,Prince George Cougars ,WHL,,,,,,,6′ 4,185,Slovakia Jr.,40,12,16,28,0.70,30,0,59,16,24,40,0.68,34,13
190,Ottawa Senators,Brad Peltz,US,LW,19,,Avon Old Farms School ,High-CT,,,,,,,6′ 1,185,USHS-Prep,28,13,20,33,1.18,12,0,0,0,0,0,#DIV/0!,0,0
191,Ottawa Senators,Michael Sdao,US,D,20,,Lincoln Stars ,USHL,,,,,,,6′ 4,221,USHL,53,3,6,9,0.17,178,12,51,3,7,10,0.2,162,0
192,Nashville Predators,Cam Reid,CA,C,18,,Westside ,BCHL,,,,,,,6′ 2,165,BCHL,55,10,16,26,0.47,25,0,58,12,28,40,0.69,42,0
193,Minnesota Wild,Anthony Hamburg,US,C,18,,Dallas ,T1EHL 18U,,,,,,,6′ 1,185,N/A,0,0,0,0,0.00,0,0,46,16,38,54,1.17,38,0
194,Buffalo Sabres,Maxime Legault,CA,RW,20,,Shawinigan Cataractes ,QMJHL,,,,,,,6′ 2,195,QMJHL,31,6,4,10,0.32,61,3,63,28,16,44,0.7,66,22
195,Chicago Blackhawks,Paul Phillips,US,D,18,,Cedar Rapids Roughriders ,USHL,,,,,,,5′ 11,190,USHL,43,1,2,3,0.07,25,7,60,8,25,33,0.55,56,7
196,Philadelphia Flyers,Oliver Lauridsen,DK,D,20,2015,St. Cloud State ,WCHA,16,2,1,3,-1,44,6′ 6,220,Sweden Jr.,35,5,6,11,0.31,159,0,28,0,1,1,0.04,38,5
197,Columbus Blue Jackets,Kyle Neuber,CA,RW,20,,Mississauga St. Michael's Majors ,OHL,,,,,,,6′ 2,220,OHL,54,4,4,8,0.15,133,1,59,9,3,12,0.2,135,1
198,Los Angeles Kings,Nic Dowd,US,C,19,2023,Wenatchee Wild ,NAHL,394,48,60,108,9,194,6′ 1,175,USHS-Prep,45,15,31,46,1.02,38,0,43,16,33,49,1.14,71,9
199,Montreal Canadiens,Michael Cichy,US,C,19,,Indiana Ice ,USHL,,,,,,,5′ 11,187,USHL,59,16,29,45,0.76,45,16,56,34,42,76,1.36,23,15
200,New York Rangers,Mikhail Pashnin,RU,D,20,,Mechel Chelyabinsk ,Russia-2,,,,,,,5′ 11,187,Russia-3,7,4,1,5,0.71,12,0,35,2,4,6,0.17,40,7
201,Calgary Flames,Gaelan Patterson,CA,C,19,,Saskatoon Blades ,WHL,,,,,,,6′ 0,204,WHL,51,4,6,10,0.20,38,3,71,22,35,57,0.8,41,31
202,St. Louis Blues,Max Tardy,US,C,18,,Duluth East HS ,High-MN,,,,,,,6′ 0,168,USHS-MN,27,14,26,40,1.48,0,0,25,28,20,48,1.92,20,0
203,Atlanta Thrashers,Jordan Samuels-Thomas,US,LW,19,,Waterloo Black Hawks ,USHL,,,,,,,6′ 3,198,USHL,56,8,3,11,0.20,65,3,59,32,22,54,0.92,59,17
204,New Jersey Devils,Curtis Gedig,CA,D,18,,Cowichan Valley ,BCHL,,,,,,,6′ 3,190,KIJHL,9,0,2,2,0.22,4,0,46,4,14,18,0.39,18,0
205,Washington Capitals,Benjamin Casavant,CA,LW,18,,Prince Edward Island Rocket ,QMJHL,,,,,,,6′ 1,213,QMJHL,32,7,7,14,0.44,11,14,68,39,41,80,1.18,49,32
206,Boston Bruins,Ben Sexton,CA,C,18,2018,Nepean ,CJHL,2,0,0,0,-1,0,5′ 11,182,CCHL,48,15,15,30,0.63,71,0,38,14,21,35,0.92,54,0
207,San Jose Sharks,Dominik Bielke,DE,D,18,,Eisbaren Berlin ,Germany,,,,,,,6′ 3,190,Germany3,46,5,7,12,0.26,72,0,7,0,1,1,0.14,2,2
208,Carolina Hurricanes,Tommi Kivisto,FI,D,18,,Red Deer Rebels ,WHL,,,,,,,6′ 2,194,U18-SM Sarja,26,6,10,16,0.62,50,0,65,1,21,22,0.34,49,9
209,Chicago Blackhawks,David Gilbert,CA,C,18,,Quebec Remparts ,QMJHL,,,,,,,6′ 0,171,QMJHL,28,7,7,14,0.50,12,5,67,11,32,43,0.64,24,14
210,Detroit Red Wings,Adam Almqvist,SE,D,18,2014,HV71 Jr. ,Sweden Jr.,2,1,0,1,-1,0,5′ 10,169,Sweden Jr.,23,1,6,7,0.30,12,0,41,8,28,36,0.88,44,0
